Track 0: 
<meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>
<meta message set_tempo tempo=600000 time=0>
<meta message end_of_track time=0>
Track 1: Electric Piano
<meta message track_name name='Electric Piano' time=0>
note_off channel=0 note=61 velocity=0 time=0
note_off channel=0 note=57 velocity=0 time=0
note_on channel=0 note=52 velocity=50 time=96
note_off channel=0 note=52 velocity=0 time=96
note_on channel=0 note=49 velocity=50 time=96
note_off channel=0 note=49 velocity=0 time=96
note_on channel=0 note=52 velocity=50 time=96
note_off channel=0 note=52 velocity=0 time=96
note_on channel=0 note=61 velocity=50 time=96
note_on channel=0 note=64 velocity=50 time=0
note_on channel=0 note=69 velocity=50 time=0
note_on channel=0 note=57 velocity=50 time=0
note_off channel=0 note=61 velocity=0 time=96
note_off channel=0 note=69 velocity=0 time=0
note_off channel=0 note=57 velocity=0 time=0
note_off channel=0 note=64 velocity=0 time=0
note_on channel=0 note=52 velocity=50 time=96
note_off channel=0 note=52 velocity=0 time=96
note_on channel=0 note=62 velocity=50 time=96
note_on channel=0 note=47 velocity=50 time=0
note_on channel=0 note=69 velocity=50 time=0
note_on channel=0 note=64 velocity=50 time=0
note_off channel=0 note=69 velocity=0 time=96
note_off channel=0 note=62 velocity=0 time=0
note_off channel=0 note=64 velocity=0 time=0
note_off channel=0 note=47 velocity=0 time=0
note_on channel=0 note=52 velocity=50 time=96
note_off channel=0 note=52 velocity=0 time=96
note_on channel=0 note=68 velocity=50 time=96
note_on channel=0 note=56 velocity=50 time=0
note_off channel=0 note=68 velocity=0 time=96
note_off channel=0 note=56 velocity=0 time=0
note_on channel=0 note=52 velocity=50 time=96
note_off channel=0 note=52 velocity=0 time=96
note_on channel=0 note=49 velocity=50 time=96
note_on channel=0 note=69 velocity=50 time=0
note_on channel=0 note=61 velocity=50 time=0
note_on channel=0 note=64 velocity=50 time=0
note_off channel=0 note=49 velocity=0 time=96
note_off channel=0 note=61 velocity=0 time=0
note_off channel=0 note=69 velocity=0 time=0
note_off channel=0 note=64 velocity=0 time=0
note_on channel=0 note=52 velocity=50 time=96
note_off channel=0 note=52 velocity=0 time=96
note_on channel=0 note=57 velocity=50 time=96
note_off channel=0 note=57 velocity=0 time=96
note_on channel=0 note=52 velocity=50 time=96
note_off channel=0 note=52 velocity=0 time=96
note_on channel=0 note=66 velocity=50 time=96
note_on channel=0 note=71 velocity=50 time=0
note_on channel=0 note=69 velocity=50 time=0
note_on channel=0 note=50 velocity=50 time=0
note_off channel=0 note=50 velocity=0 time=96
note_off channel=0 note=66 velocity=0 time=0
note_off channel=0 note=69 velocity=0 time=0
note_off channel=0 note=71 velocity=0 time=0
note_on channel=0 note=54 velocity=50 time=96
note_off channel=0 note=54 velocity=0 time=96
note_on channel=0 note=69 velocity=50 time=96
note_on channel=0 note=57 velocity=50 time=0
note_on channel=0 note=49 velocity=50 time=0
note_on channel=0 note=73 velocity=50 time=0
note_on channel=0 note=64 velocity=50 time=0
note_off channel=0 note=57 velocity=0 time=96
note_off channel=0 note=49 velocity=0 time=0
note_off channel=0 note=73 velocity=0 time=0
note_off channel=0 note=69 velocity=0 time=0
note_off channel=0 note=64 velocity=0 time=0
note_on channel=0 note=62 velocity=50 time=96
note_on channel=0 note=47 velocity=50 time=0
note_on channel=0 note=74 velocity=50 time=0
note_on channel=0 note=57 velocity=50 time=0
note_on channel=0 note=69 velocity=50 time=0
note_off channel=0 note=74 velocity=0 time=96
note_off channel=0 note=62 velocity=0 time=0
note_off channel=0 note=57 velocity=0 time=0
note_off channel=0 note=69 velocity=0 time=0
note_off channel=0 note=47 velocity=0 time=0
note_on channel=0 note=49 velocity=50 time=96
note_on channel=0 note=64 velocity=50 time=0
note_on channel=0 note=73 velocity=50 time=0
note_on channel=0 note=69 velocity=50 time=0
note_off channel=0 note=73 velocity=0 time=96
note_off channel=0 note=69 velocity=0 time=0
note_off channel=0 note=49 velocity=0 time=0
note_off channel=0 note=64 velocity=0 time=0
note_on channel=0 note=57 velocity=50 time=96
note_off channel=0 note=57 velocity=0 time=96
note_on channel=0 note=52 velocity=50 time=96
note_on channel=0 note=62 velocity=50 time=0
note_on channel=0 note=64 velocity=50 time=0
note_on channel=0 note=71 velocity=50 time=0
note_off channel=0 note=62 velocity=0 time=96
note_off channel=0 note=64 velocity=0 time=0
note_off channel=0 note=71 velocity=0 time=0
note_off channel=0 note=52 velocity=0 time=0
note_on channel=0 note=56 velocity=50 time=96
note_off channel=0 note=56 velocity=0 time=96
note_on channel=0 note=62 velocity=50 time=96
note_on channel=0 note=64 velocity=50 time=0
note_on channel=0 note=71 velocity=50 time=0
note_on channel=0 note=45 velocity=50 time=0
note_off channel=0 note=62 velocity=0 time=96
note_off channel=0 note=64 velocity=0 time=0
note_off channel=0 note=71 velocity=0 time=0
note_off channel=0 note=45 velocity=0 time=0
note_on channel=0 note=52 velocity=50 time=96
note_off channel=0 note=52 velocity=0 time=96
note_on channel=0 note=56 velocity=50 time=96
note_off channel=0 note=56 velocity=0 time=96
note_on channel=0 note=52 velocity=50 time=96
note_off channel=0 note=52 velocity=0 time=96
note_on channel=0 note=69 velocity=50 time=96
note_on channel=0 note=57 velocity=50 time=0
note_off channel=0 note=69 velocity=0 time=96
note_off channel=0 note=57 velocity=0 time=0
note_on channel=0 note=71 velocity=50 time=96
note_on channel=0 note=59 velocity=50 time=0
note_off channel=0 note=71 velocity=0 time=96
note_off channel=0 note=59 velocity=0 time=0
note_on channel=0 note=73 velocity=50 time=96
note_on channel=0 note=61 velocity=50 time=0
note_off channel=0 note=73 velocity=0 time=96
note_off channel=0 note=61 velocity=0 time=0
note_on channel=0 note=74 velocity=50 time=96
note_on channel=0 note=62 velocity=50 time=0
note_off channel=0 note=62 velocity=0 time=96
note_off channel=0 note=74 velocity=0 time=0
note_on channel=0 note=76 velocity=50 time=96
note_on channel=0 note=64 velocity=50 time=0
note_on channel=0 note=49 velocity=50 time=0
note_off channel=0 note=49 velocity=0 time=96
note_off channel=0 note=76 velocity=0 time=0
note_off channel=0 note=64 velocity=0 time=0
note_on channel=0 note=52 velocity=50 time=96
note_off channel=0 note=52 velocity=0 time=96
note_on channel=0 note=57 velocity=50 time=96
note_off channel=0 note=57 velocity=0 time=96
note_on channel=0 note=64 velocity=50 time=96
note_on channel=0 note=52 velocity=50 time=0
note_on channel=0 note=76 velocity=50 time=0
note_off channel=0 note=76 velocity=0 time=96
note_off channel=0 note=64 velocity=0 time=0
note_off channel=0 note=52 velocity=0 time=0
note_on channel=0 note=78 velocity=50 time=96
note_on channel=0 note=66 velocity=50 time=0
note_on channel=0 note=46 velocity=50 time=0
note_off channel=0 note=78 velocity=0 time=96
note_off channel=0 note=66 velocity=0 time=0
note_off channel=0 note=46 velocity=0 time=0
note_on channel=0 note=54 velocity=50 time=96
note_off channel=0 note=54 velocity=0 time=96
note_on channel=0 note=61 velocity=50 time=96
note_off channel=0 note=61 velocity=0 time=96
note_on channel=0 note=54 velocity=50 time=96
note_off channel=0 note=54 velocity=0 time=96
note_on channel=0 note=47 velocity=50 time=96
note_on channel=0 note=64 velocity=50 time=0
note_on channel=0 note=76 velocity=50 time=0
note_off channel=0 note=76 velocity=0 time=96
note_off channel=0 note=47 velocity=0 time=0
note_off channel=0 note=64 velocity=0 time=0
note_on channel=0 note=54 velocity=50 time=96
note_off channel=0 note=54 velocity=0 time=96
note_on channel=0 note=75 velocity=50 time=96
note_on channel=0 note=63 velocity=50 time=0
note_on channel=0 note=59 velocity=50 time=0
note_off channel=0 note=63 velocity=0 time=96
note_off channel=0 note=59 velocity=0 time=0
note_off channel=0 note=75 velocity=0 time=0
note_on channel=0 note=54 velocity=50 time=96
note_off channel=0 note=54 velocity=0 time=96
note_on channel=0 note=71 velocity=50 time=96
note_on channel=0 note=59 velocity=50 time=0
note_on channel=0 note=47 velocity=50 time=0
note_off channel=0 note=71 velocity=0 time=96
note_off channel=0 note=59 velocity=0 time=0
note_off channel=0 note=47 velocity=0 time=0
note_on channel=0 note=54 velocity=50 time=96
note_off channel=0 note=54 velocity=0 time=96
note_on channel=0 note=59 velocity=50 time=96
note_off channel=0 note=59 velocity=0 time=96
note_on channel=0 note=54 velocity=50 time=96
note_on channel=0 note=61 velocity=50 time=0
note_on channel=0 note=73 velocity=50 time=0
note_off channel=0 note=61 velocity=0 time=96
note_off channel=0 note=73 velocity=0 time=0
note_off channel=0 note=54 velocity=0 time=0
note_on channel=0 note=42 velocity=50 time=96
note_on channel=0 note=74 velocity=50 time=0
note_on channel=0 note=62 velocity=50 time=0
note_off channel=0 note=62 velocity=0 time=96
note_off channel=0 note=42 velocity=0 time=0
note_off channel=0 note=74 velocity=0 time=0
note_on channel=0 note=54 velocity=50 time=96
note_off channel=0 note=54 velocity=0 time=96
note_on channel=0 note=57 velocity=50 time=96
note_off channel=0 note=57 velocity=0 time=96
note_on channel=0 note=74 velocity=50 time=96
note_on channel=0 note=62 velocity=50 time=0
note_on channel=0 note=54 velocity=50 time=0
note_off channel=0 note=54 velocity=0 time=96
note_off channel=0 note=62 velocity=0 time=0
note_off channel=0 note=74 velocity=0 time=0
note_on channel=0 note=44 velocity=50 time=96
note_on channel=0 note=64 velocity=50 time=0
note_on channel=0 note=76 velocity=50 time=0
note_off channel=0 note=64 velocity=0 time=96
note_off channel=0 note=44 velocity=0 time=0
note_off channel=0 note=76 velocity=0 time=0
note_on channel=0 note=52 velocity=50 time=96
note_off channel=0 note=52 velocity=0 time=96
note_on channel=0 note=59 velocity=50 time=96
note_off channel=0 note=59 velocity=0 time=96
note_on channel=0 note=52 velocity=50 time=96
note_off channel=0 note=52 velocity=0 time=96
note_on channel=0 note=49 velocity=50 time=96
note_on channel=0 note=69 velocity=50 time=0
note_off channel=0 note=49 velocity=0 time=96
note_off channel=0 note=69 velocity=0 time=0
note_on channel=0 note=52 velocity=50 time=96
note_on channel=0 note=69 velocity=50 time=0
note_on channel=0 note=71 velocity=50 time=0
note_on channel=0 note=68 velocity=50 time=96
note_off channel=0 note=52 velocity=0 time=0
note_off channel=0 note=71 velocity=0 time=0
note_off channel=0 note=69 velocity=0 time=0
note_on channel=0 note=69 velocity=50 time=96
note_on channel=0 note=57 velocity=50 time=0
note_off channel=0 note=68 velocity=0 time=0
note_off channel=0 note=69 velocity=0 time=96
note_off channel=0 note=57 velocity=0 time=0
note_on channel=0 note=71 velocity=50 time=96
note_on channel=0 note=52 velocity=50 time=0
note_off channel=0 note=71 velocity=0 time=96
note_off channel=0 note=52 velocity=0 time=0
note_on channel=0 note=64 velocity=50 time=96
note_on channel=0 note=45 velocity=50 time=0
note_on channel=0 note=69 velocity=50 time=0
note_on channel=0 note=73 velocity=50 time=0
note_off channel=0 note=64 velocity=0 time=96
note_off channel=0 note=73 velocity=0 time=0
note_off channel=0 note=69 velocity=0 time=0
note_off channel=0 note=45 velocity=0 time=0
note_on channel=0 note=52 velocity=50 time=96
note_off channel=0 note=52 velocity=0 time=96
note_on channel=0 note=61 velocity=50 time=96
note_off channel=0 note=61 velocity=0 time=96
note_on channel=0 note=52 velocity=50 time=96
note_off channel=0 note=52 velocity=0 time=96
note_on channel=0 note=50 velocity=50 time=96
note_on channel=0 note=71 velocity=50 time=0
note_on channel=0 note=69 velocity=50 time=0
note_on channel=0 note=66 velocity=50 time=0
note_off channel=0 note=50 velocity=0 time=96
note_off channel=0 note=71 velocity=0 time=0
note_off channel=0 note=69 velocity=0 time=0
note_off channel=0 note=66 velocity=0 time=0
note_on channel=0 note=54 velocity=50 time=96
note_off channel=0 note=54 velocity=0 time=96
note_on channel=0 note=71 velocity=50 time=96
note_on channel=0 note=66 velocity=50 time=0
note_on channel=0 note=69 velocity=50 time=0
note_on channel=0 note=59 velocity=50 time=0
note_off channel=0 note=69 velocity=0 time=96
note_off channel=0 note=66 velocity=0 time=0
note_off channel=0 note=59 velocity=0 time=0
note_off channel=0 note=71 velocity=0 time=0
note_on channel=0 note=54 velocity=50 time=96
note_off channel=0 note=54 velocity=0 time=96
note_on channel=0 note=64 velocity=50 time=96
note_on channel=0 note=68 velocity=50 time=0
note_on channel=0 note=52 velocity=50 time=0
note_on channel=0 note=71 velocity=50 time=0
note_off channel=0 note=71 velocity=0 time=96
note_off channel=0 note=64 velocity=0 time=0
note_off channel=0 note=68 velocity=0 time=0
note_off channel=0 note=52 velocity=0 time=0
note_on channel=0 note=56 velocity=50 time=96
note_off channel=0 note=56 velocity=0 time=96
note_on channel=0 note=64 velocity=50 time=96
note_on channel=0 note=68 velocity=50 time=0
note_on channel=0 note=74 velocity=50 time=0
note_on channel=0 note=59 velocity=50 time=0
note_off channel=0 note=74 velocity=0 time=96
note_off channel=0 note=64 velocity=0 time=0
note_off channel=0 note=59 velocity=0 time=0
note_off channel=0 note=68 velocity=0 time=0
note_on channel=0 note=56 velocity=50 time=96
note_on channel=0 note=73 velocity=50 time=96
note_off channel=0 note=56 velocity=0 time=0
note_on channel=0 note=45 velocity=50 time=96
note_off channel=0 note=73 velocity=0 time=0
note_on channel=0 note=64 velocity=50 time=0
note_on channel=0 note=73 velocity=50 time=0
note_on channel=0 note=69 velocity=50 time=0
note_off channel=0 note=73 velocity=0 time=96
note_off channel=0 note=45 velocity=0 time=0
note_off channel=0 note=69 velocity=0 time=0
note_off channel=0 note=64 velocity=0 time=0
note_on channel=0 note=52 velocity=50 time=96
note_off channel=0 note=52 velocity=0 time=96
note_on channel=0 note=61 velocity=50 time=96
note_off channel=0 note=61 velocity=0 time=96
note_on channel=0 note=52 velocity=50 time=96
note_off channel=0 note=52 velocity=0 time=96
note_on channel=0 note=76 velocity=50 time=96
note_on channel=0 note=64 velocity=50 time=0
note_on channel=0 note=69 velocity=50 time=0
note_on channel=0 note=49 velocity=50 time=0
note_off channel=0 note=64 velocity=0 time=96
note_off channel=0 note=69 velocity=0 time=0
note_off channel=0 note=76 velocity=0 time=0
note_off channel=0 note=49 velocity=0 time=0
note_on channel=0 note=52 velocity=50 time=96
note_off channel=0 note=52 velocity=0 time=96
note_on channel=0 note=57 velocity=50 time=96
note_off channel=0 note=57 velocity=0 time=96
note_on channel=0 note=74 velocity=50 time=96
note_on channel=0 note=52 velocity=50 time=0
note_off channel=0 note=74 velocity=0 time=96
note_off channel=0 note=52 velocity=0 time=0
note_on channel=0 note=73 velocity=50 time=0
note_on channel=0 note=71 velocity=50 time=96
note_on channel=0 note=69 velocity=50 time=0
note_on channel=0 note=66 velocity=50 time=0
note_on channel=0 note=50 velocity=50 time=0
note_off channel=0 note=73 velocity=0 time=0
note_off channel=0 note=69 velocity=0 time=96
note_off channel=0 note=71 velocity=0 time=0
note_off channel=0 note=50 velocity=0 time=0
note_off channel=0 note=66 velocity=0 time=0
note_on channel=0 note=54 velocity=50 time=96
note_off channel=0 note=54 velocity=0 time=96
note_on channel=0 note=69 velocity=50 time=96
note_on channel=0 note=66 velocity=50 time=0
note_on channel=0 note=71 velocity=50 time=0
note_on channel=0 note=59 velocity=50 time=0
note_off channel=0 note=66 velocity=0 time=96
note_off channel=0 note=71 velocity=0 time=0
note_off channel=0 note=59 velocity=0 time=0
note_off channel=0 note=69 velocity=0 time=0
note_on channel=0 note=54 velocity=50 time=96
note_off channel=0 note=54 velocity=0 time=96
note_on channel=0 note=71 velocity=50 time=96
note_on channel=0 note=64 velocity=50 time=0
note_on channel=0 note=52 velocity=50 time=0
note_on channel=0 note=68 velocity=50 time=0
note_off channel=0 note=64 velocity=0 time=96
note_off channel=0 note=52 velocity=0 time=0
note_off channel=0 note=68 velocity=0 time=0
note_off channel=0 note=71 velocity=0 time=0
note_on channel=0 note=56 velocity=50 time=96
note_off channel=0 note=56 velocity=0 time=96
note_on channel=0 note=68 velocity=50 time=96
note_on channel=0 note=64 velocity=50 time=0
note_on channel=0 note=74 velocity=50 time=0
note_on channel=0 note=59 velocity=50 time=0
note_off channel=0 note=64 velocity=0 time=96
note_off channel=0 note=74 velocity=0 time=0
note_off channel=0 note=59 velocity=0 time=0
note_off channel=0 note=68 velocity=0 time=0
note_on channel=0 note=56 velocity=50 time=96
note_on channel=0 note=73 velocity=50 time=96
note_off channel=0 note=56 velocity=0 time=0
note_on channel=0 note=45 velocity=50 time=96
note_on channel=0 note=61 velocity=50 time=0
note_on channel=0 note=69 velocity=50 time=0
note_off channel=0 note=73 velocity=0 time=0
note_off channel=0 note=45 velocity=0 time=96
note_off channel=0 note=69 velocity=0 time=0
note_off channel=0 note=61 velocity=0 time=0
note_on channel=0 note=52 velocity=50 time=96
note_off channel=0 note=52 velocity=0 time=96
note_on channel=0 note=57 velocity=50 time=96
note_off channel=0 note=57 velocity=0 time=96
note_on channel=0 note=68 velocity=50 time=96
note_off channel=0 note=68 velocity=0 time=96
note_on channel=0 note=69 velocity=50 time=96
note_off channel=0 note=69 velocity=0 time=96
note_on channel=0 note=59 velocity=50 time=96
note_on channel=0 note=71 velocity=50 time=0
note_off channel=0 note=71 velocity=0 time=96
note_off channel=0 note=59 velocity=0 time=0
note_on channel=0 note=73 velocity=50 time=96
